tokenized_query,type,doc_id,canonical_name,domain_id
search-for-pollution-devices-in-westside-heights-transit-hub,pollution,pol_000279,/d1/pollution/pol_000279,1
query-traffic-records-from-old-town-core-civic-center,traffic,traf_000059,/d6/traffic/traf_000059,6
list-streetlight-data-around-westside-heights-riverside-park,streetlight,sl_000101,/d1/streetlight/sl_000101,1
query-parking-records-from-south-hills-residential-block,parking,p_000062,/d3/parking/p_000062,3
give-me-streetlight-information-near-westside-heights-university-campus,streetlight,sl_000101,/d1/streetlight/sl_000101,1
give-me-traffic-information-near-old-town-core-cultural-center,traffic,traf_000118,/d6/traffic/traf_000118,6
what-traffic-readings-are-reported-in-greenfield-park,traffic,traf_000277,/d7/traffic/traf_000277,7
give-me-parking-information-near-north-harbor-main-station,parking,p_000009,/d0/parking/p_000009,0
list-traffic-data-around-south-hills-waterfront-promenade,traffic,traf_000026,/d3/traffic/traf_000026,3
give-me-streetlight-information-near-old-town-core-city-hall,streetlight,sl_000092,/d6/streetlight/sl_000092,6
search-for-parking-devices-in-old-town-core-civic-center,parking,p_000003,/d6/parking/p_000003,6
query-pollution-records-from-lakeside-district-downtown,pollution,pol_000135,/d5/pollution/pol_000135,5
locate-every-pollution-unit-across-greenfield-park,pollution,pol_000093,/d7/pollution/pol_000093,7
give-me-streetlight-information-near-north-harbor-cultural-center,streetlight,sl_000113,/d0/streetlight/sl_000113,0
what-streetlight-readings-are-reported-in-midtown-center,streetlight,sl_000014,/d4/streetlight/sl_000014,4
find-all-pollution-sensors-in-lakeside-district,pollution,pol_000138,/d5/pollution/pol_000138,5
what-parking-readings-are-reported-in-westside-heights,parking,p_000244,/d1/parking/p_000244,1
query-traffic-records-from-south-hills-commercial-strip,traffic,traf_000022,/d3/traffic/traf_000022,3
what-streetlight-readings-are-reported-in-lakeside-district,streetlight,sl_000582,/d5/streetlight/sl_000582,5
locate-every-pollution-unit-across-greenfield-park,pollution,pol_000059,/d7/pollution/pol_000059,7
find-all-parking-sensors-in-westside-heights,parking,p_000302,/d1/parking/p_000302,1
search-for-streetlight-devices-in-north-harbor-commercial-strip,streetlight,sl_000010,/d0/streetlight/sl_000010,0
give-me-pollution-information-near-eastshore-quarter-city-hall,pollution,pol_000028,/d2/pollution/pol_000028,2
query-parking-records-from-westside-heights-waterfront,parking,p_000136,/d1/parking/p_000136,1
give-me-parking-information-near-south-hills-main-station,parking,p_000078,/d3/parking/p_000078,3
locate-every-parking-unit-across-greenfield-park,parking,p_000041,/d7/parking/p_000041,7
find-all-parking-sensors-in-old-town-core,parking,p_000005,/d6/parking/p_000005,6
show-pollution-status-for-the-south-hills-transit-hub-zone,pollution,pol_000074,/d3/pollution/pol_000074,3
search-for-pollution-devices-in-old-town-core-commercial-strip,pollution,pol_000032,/d6/pollution/pol_000032,6
give-me-pollution-information-near-old-town-core-cultural-center,pollution,pol_000034,/d6/pollution/pol_000034,6
find-all-traffic-sensors-in-lakeside-district,traffic,traf_000376,/d5/traffic/traf_000376,5
query-pollution-records-from-north-harbor-civic-center,pollution,pol_000126,/d0/pollution/pol_000126,0
search-for-pollution-devices-in-midtown-center-waterfront,pollution,pol_000120,/d4/pollution/pol_000120,4
list-traffic-data-around-midtown-center-lighthouse,traffic,traf_000044,/d4/traffic/traf_000044,4
what-parking-readings-are-reported-in-lakeside-district,parking,p_000076,/d5/parking/p_000076,5
list-parking-data-around-eastshore-quarter-main-station,parking,p_000022,/d2/parking/p_000022,2
find-all-traffic-sensors-in-old-town-core,traffic,traf_000020,/d6/traffic/traf_000020,6
query-streetlight-records-from-greenfield-park-industrial-zone,streetlight,sl_000153,/d7/streetlight/sl_000153,7
list-parking-data-around-north-harbor-clock-tower,parking,p_000004,/d0/parking/p_000004,0
query-parking-records-from-eastshore-quarter-waterfront,parking,p_000022,/d2/parking/p_000022,2
give-me-traffic-information-near-lakeside-district-city-hall,traffic,traf_000334,/d5/traffic/traf_000334,5
find-all-traffic-sensors-in-south-hills,traffic,traf_000026,/d3/traffic/traf_000026,3
list-streetlight-data-around-eastshore-quarter-riverside-park,streetlight,sl_000007,/d2/streetlight/sl_000007,2
what-pollution-readings-are-reported-in-south-hills,pollution,pol_000046,/d3/pollution/pol_000046,3
search-for-traffic-devices-in-north-harbor-waterfront,traffic,traf_000259,/d0/traffic/traf_000259,0
give-me-parking-information-near-old-town-core-botanical-garden,parking,p_000032,/d6/parking/p_000032,6
query-traffic-records-from-greenfield-park-arts-quarter,traffic,traf_000074,/d7/traffic/traf_000074,7
give-me-pollution-information-near-greenfield-park-university-campus,pollution,pol_000093,/d7/pollution/pol_000093,7
show-parking-status-for-the-eastshore-quarter-arts-quarter-zone,parking,p_000022,/d2/parking/p_000022,2
give-me-parking-information-near-old-town-core-shopping-mall,parking,p_000070,/d6/parking/p_000070,6
list-parking-data-around-lakeside-district-shopping-mall,parking,p_000335,/d5/parking/p_000335,5
show-traffic-status-for-the-south-hills-financial-row-zone,traffic,traf_000149,/d3/traffic/traf_000149,3
locate-every-streetlight-unit-across-eastshore-quarter,streetlight,sl_000020,/d2/streetlight/sl_000020,2
show-pollution-status-for-the-midtown-center-residential-block-zone,pollution,pol_000065,/d4/pollution/pol_000065,4
query-streetlight-records-from-eastshore-quarter-industrial-zone,streetlight,sl_000003,/d2/streetlight/sl_000003,2
give-me-traffic-information-near-eastshore-quarter-cultural-center,traffic,traf_000034,/d2/traffic/traf_000034,2
show-streetlight-status-for-the-midtown-center-civic-center-zone,streetlight,sl_000017,/d4/streetlight/sl_000017,4
what-parking-readings-are-reported-in-greenfield-park,parking,p_000475,/d7/parking/p_000475,7
list-pollution-data-around-south-hills-historic-market,pollution,pol_000074,/d3/pollution/pol_000074,3
what-streetlight-readings-are-reported-in-south-hills,streetlight,sl_000033,/d3/streetlight/sl_000033,3
show-streetlight-status-for-the-north-harbor-waterfront-zone,streetlight,sl_000010,/d0/streetlight/sl_000010,0
list-parking-data-around-midtown-center-clock-tower,parking,p_000017,/d4/parking/p_000017,4
give-me-traffic-information-near-greenfield-park-cultural-center,traffic,traf_000003,/d7/traffic/traf_000003,7
locate-every-parking-unit-across-greenfield-park,parking,p_000041,/d7/parking/p_000041,7
show-parking-status-for-the-old-town-core-financial-row-zone,parking,p_000032,/d6/parking/p_000032,6
show-pollution-status-for-the-greenfield-park-financial-row-zone,pollution,pol_000355,/d7/pollution/pol_000355,7
show-parking-status-for-the-lakeside-district-waterfront-zone,parking,p_000055,/d5/parking/p_000055,5
list-traffic-data-around-westside-heights-historic-market,traffic,traf_000591,/d1/traffic/traf_000591,1
find-all-pollution-sensors-in-old-town-core,pollution,pol_000023,/d6/pollution/pol_000023,6
query-traffic-records-from-greenfield-park-arts-quarter,traffic,traf_000057,/d7/traffic/traf_000057,7
list-pollution-data-around-south-hills-main-station,pollution,pol_000074,/d3/pollution/pol_000074,3
locate-every-parking-unit-across-north-harbor,parking,p_000004,/d0/parking/p_000004,0
find-all-parking-sensors-in-south-hills,parking,p_000309,/d3/parking/p_000309,3
what-traffic-readings-are-reported-in-greenfield-park,traffic,traf_000100,/d7/traffic/traf_000100,7
what-pollution-readings-are-reported-in-lakeside-district,pollution,pol_000337,/d5/pollution/pol_000337,5
search-for-parking-devices-in-south-hills-waterfront,parking,p_000001,/d3/parking/p_000001,3
query-traffic-records-from-westside-heights-arts-quarter,traffic,traf_000043,/d1/traffic/traf_000043,1
show-streetlight-status-for-the-old-town-core-arts-quarter-zone,streetlight,sl_000043,/d6/streetlight/sl_000043,6
show-parking-status-for-the-westside-heights-financial-row-zone,parking,p_000073,/d1/parking/p_000073,1
find-all-parking-sensors-in-lakeside-district,parking,p_000076,/d5/parking/p_000076,5
give-me-traffic-information-near-greenfield-park-city-library,traffic,traf_000003,/d7/traffic/traf_000003,7
what-pollution-readings-are-reported-in-south-hills,pollution,pol_000026,/d3/pollution/pol_000026,3
what-parking-readings-are-reported-in-westside-heights,parking,p_000058,/d1/parking/p_000058,1
query-streetlight-records-from-lakeside-district-civic-center,streetlight,sl_000117,/d5/streetlight/sl_000117,5
what-traffic-readings-are-reported-in-eastshore-quarter,traffic,traf_000006,/d2/traffic/traf_000006,2
show-parking-status-for-the-midtown-center-uptown-zone,parking,p_000017,/d4/parking/p_000017,4
find-all-parking-sensors-in-north-harbor,parking,p_000009,/d0/parking/p_000009,0
search-for-streetlight-devices-in-north-harbor-residential-block,streetlight,sl_000024,/d0/streetlight/sl_000024,0
find-all-pollution-sensors-in-westside-heights,pollution,pol_000004,/d1/pollution/pol_000004,1
show-streetlight-status-for-the-lakeside-district-transit-hub-zone,streetlight,sl_000251,/d5/streetlight/sl_000251,5
what-parking-readings-are-reported-in-old-town-core,parking,p_000070,/d6/parking/p_000070,6
give-me-pollution-information-near-greenfield-park-riverside-park,pollution,pol_000048,/d7/pollution/pol_000048,7
query-streetlight-records-from-greenfield-park-commercial-strip,streetlight,sl_000493,/d7/streetlight/sl_000493,7
what-traffic-readings-are-reported-in-old-town-core,traffic,traf_000037,/d6/traffic/traf_000037,6
what-streetlight-readings-are-reported-in-eastshore-quarter,streetlight,sl_000020,/d2/streetlight/sl_000020,2
what-traffic-readings-are-reported-in-greenfield-park,traffic,traf_000003,/d7/traffic/traf_000003,7
search-for-traffic-devices-in-westside-heights-commercial-strip,traffic,traf_000176,/d1/traffic/traf_000176,1
list-traffic-data-around-old-town-core-clock-tower,traffic,traf_000020,/d6/traffic/traf_000020,6
give-me-traffic-information-near-midtown-center-riverside-park,traffic,traf_000051,/d4/traffic/traf_000051,4
show-pollution-status-for-the-midtown-center-industrial-zone-zone,pollution,pol_000084,/d4/pollution/pol_000084,4
what-parking-readings-are-reported-in-old-town-core,parking,p_000070,/d6/parking/p_000070,6
query-traffic-records-from-lakeside-district-financial-row,traffic,traf_000126,/d5/traffic/traf_000126,5
search-for-traffic-devices-in-midtown-center-arts-quarter,traffic,traf_000012,/d4/traffic/traf_000012,4
query-parking-records-from-westside-heights-arts-quarter,parking,p_000341,/d1/parking/p_000341,1
locate-every-traffic-unit-across-greenfield-park,traffic,traf_000100,/d7/traffic/traf_000100,7
locate-every-traffic-unit-across-westside-heights,traffic,traf_000027,/d1/traffic/traf_000027,1
what-streetlight-readings-are-reported-in-lakeside-district,streetlight,sl_000427,/d5/streetlight/sl_000427,5
show-traffic-status-for-the-eastshore-quarter-industrial-zone-zone,traffic,traf_000016,/d2/traffic/traf_000016,2
locate-every-pollution-unit-across-midtown-center,pollution,pol_000011,/d4/pollution/pol_000011,4
locate-every-parking-unit-across-old-town-core,parking,p_000005,/d6/parking/p_000005,6
query-parking-records-from-north-harbor-waterfront,parking,p_000009,/d0/parking/p_000009,0
find-all-pollution-sensors-in-north-harbor,pollution,pol_000009,/d0/pollution/pol_000009,0
locate-every-traffic-unit-across-north-harbor,traffic,traf_000085,/d0/traffic/traf_000085,0
query-streetlight-records-from-eastshore-quarter-transit-hub,streetlight,sl_000034,/d2/streetlight/sl_000034,2
search-for-streetlight-devices-in-westside-heights-financial-row,streetlight,sl_000132,/d1/streetlight/sl_000132,1
list-streetlight-data-around-westside-heights-riverside-park,streetlight,sl_000554,/d1/streetlight/sl_000554,1
show-streetlight-status-for-the-eastshore-quarter-waterfront-zone,streetlight,sl_000020,/d2/streetlight/sl_000020,2
list-pollution-data-around-lakeside-district-botanical-garden,pollution,pol_000138,/d5/pollution/pol_000138,5
what-traffic-readings-are-reported-in-north-harbor,traffic,traf_000041,/d0/traffic/traf_000041,0
search-for-pollution-devices-in-westside-heights-financial-row,pollution,pol_000087,/d1/pollution/pol_000087,1
search-for-streetlight-devices-in-greenfield-park-industrial-zone,streetlight,sl_000042,/d7/streetlight/sl_000042,7
give-me-parking-information-near-north-harbor-city-library,parking,p_000004,/d0/parking/p_000004,0
query-streetlight-records-from-old-town-core-financial-row,streetlight,sl_000316,/d6/streetlight/sl_000316,6
show-streetlight-status-for-the-old-town-core-uptown-zone,streetlight,sl_000043,/d6/streetlight/sl_000043,6
query-traffic-records-from-north-harbor-residential-block,traffic,traf_000082,/d0/traffic/traf_000082,0
search-for-streetlight-devices-statusdefectivelamp-locationcategorytunnel-near-north-harbor-main-station,streetlight,sl_000010,/d0/streetlight/sl_000010,0
query-parking-category-rooftop-facilitytype-gated-in-north-harbor,parking,p_000004,/d0/parking/p_000004,0
show-parking-where-occupancystatus-is-full-category-is-rooftop-in-south-hills-downtown,parking,p_000130,/d3/parking/p_000130,3
show-pollution-where-monitoringstation-is-satellite-airqualitylevel-is-good-in-north-harbor-arts-quarter,pollution,pol_000006,/d0/pollution/pol_000006,0
give-me-pollution-where-sourcetype-equals-industrial-and-monitoringstation-equals-satellite,pollution,pol_000069,/d1/pollution/pol_000069,1
pollution-with-sourcetyperesidential-and-pollutanttypeco-close-to-old-town-core-clock-tower,pollution,pol_000023,/d6/pollution/pol_000023,6
give-me-traffic-where-roadtype-equals-residential-and-congestionlevel-equals-moderate,traffic,traf_000248,/d0/traffic/traf_000248,0
give-me-streetlight-where-lanternmodel-equals-mh-and-powerstate-equals-low,streetlight,sl_000363,/d1/streetlight/sl_000363,1
locate-pollution-with-sourcetype-set-to-industrial-near-eastshore-quarter-shopping-mall-in-eastshore-quarter-arts-quarter,pollution,pol_000005,/d2/pollution/pol_000005,2
list-pollution-having-sourcetype-naturalbackground-plus-pollutanttype-o3-in-lakeside-district,pollution,pol_000136,/d5/pollution/pol_000136,5
find-streetlight-with-status-defectivelamp-and-locationcategory-tunnel-near-greenfield-park-city-hall,streetlight,sl_000030,/d7/streetlight/sl_000030,7
show-pollution-where-pollutanttype-is-no2-sourcetype-is-residential-in-old-town-core-industrial-zone,pollution,pol_000007,/d6/pollution/pol_000007,6
locate-traffic-with-roadtype-set-to-collector-near-eastshore-quarter-science-center-in-eastshore-quarter-commercial-strip,traffic,traf_000016,/d2/traffic/traf_000016,2
list-pollution-having-pollutanttype-pm25-plus-monitoringstation-mobile-in-old-town-core,pollution,pol_000081,/d6/pollution/pol_000081,6
list-parking-having-facilitytype-covered-plus-allowedvehicletype-motorcycle-in-greenfield-park,traffic,p_000137,/d7/parking/p_000137,7
search-for-traffic-devices-congestionlevelheavy-lanedirectioninbound-near-north-harbor-cultural-center,traffic,traf_000019,/d0/traffic/traf_000019,0
parking-with-facilitytypegated-and-categoryoffstreet-close-to-south-hills-shopping-mall,parking,p_000011,/d3/parking/p_000011,3
list-parking-having-allowedvehicletype-bicycle-plus-facilitytype-covered-in-south-hills,traffic,p_000309,/d3/parking/p_000309,3
query-streetlight-lanternmodel-led-locationcategory-sidewalk-in-eastshore-quarter,streetlight,sl_000005,/d2/streetlight/sl_000005,2
find-pollution-with-pollutanttype-pm25-and-airqualitylevel-moderate-near-westside-heights-historic-market,pollution,pol_000087,/d1/pollution/pol_000087,1
query-traffic-lanedirection-inbound-roadtype-highway-in-south-hills,traffic,traf_000022,/d3/traffic/traf_000022,3
give-me-traffic-where-vehicletype-equals-bus-and-lanedirection-equals-outbound,traffic,traf_000092,/d5/traffic/traf_000092,5
locate-parking-with-facilitytype-set-to-gated-near-lakeside-district-university-campus-in-lakeside-district-residential-block,parking,p_000075,/d5/parking/p_000075,5
search-for-traffic-devices-lanedirectionoutbound-vehicletypecar-near-south-hills-shopping-mall,traffic,traf_000026,/d3/traffic/traf_000026,3
locate-streetlight-with-locationcategory-set-to-road-near-midtown-center-cultural-center-in-midtown-center-waterfront,traffic,sl_000014,/d4/streetlight/sl_000014,4
show-pollution-where-pollutanttype-is-co-monitoringstation-is-mobile-in-old-town-core-arts-quarter,pollution,pol_000017,/d6/pollution/pol_000017,6
give-me-parking-where-allowedvehicletype-equals-car-and-occupancystatus-equals-almostfull,traffic,p_000043,/d6/parking/p_000043,6
locate-traffic-with-vehicletype-set-to-bus-near-old-town-core-science-center-in-old-town-core-financial-row,traffic,traf_000042,/d6/traffic/traf_000042,6
find-streetlight-with-status-brokenlantern-and-locationcategory-park-near-south-hills-riverside-park,streetlight,sl_000004,/d3/streetlight/sl_000004,3
query-traffic-roadtype-residential-lanedirection-outbound-in-greenfield-park,traffic,traf_000128,/d7/traffic/traf_000128,7
give-me-parking-where-facilitytype-equals-metered-and-occupancystatus-equals-few,parking,p_000016,/d3/parking/p_000016,3
show-streetlight-where-lanternmodel-is-mh-powerstate-is-off-in-greenfield-park-uptown,streetlight,sl_000319,/d7/streetlight/sl_000319,7
list-traffic-having-congestionlevel-moderate-plus-lanedirection-inbound-in-lakeside-district,traffic,traf_000193,/d5/traffic/traf_000193,5
traffic-with-vehicletypebus-and-roadtypeserviceroad-close-to-eastshore-quarter-clock-tower,traffic,traf_000072,/d2/traffic/traf_000072,2
streetlight-with-lanternmodelhps-and-powerstatelow-close-to-south-hills-cathedral,streetlight,sl_000006,/d3/streetlight/sl_000006,3
search-for-streetlight-devices-lanternmodelhps-statuscolumnissue-near-old-town-core-main-station,streetlight,sl_000082,/d6/streetlight/sl_000082,6
show-parking-where-occupancystatus-is-few-allowedvehicletype-is-electricvehicle-in-south-hills-industrial-zone,traffic,p_000168,/d3/parking/p_000168,3
show-traffic-where-congestionlevel-is-moderate-lanedirection-is-outbound-in-greenfield-park-transit-hub,traffic,traf_000038,/d7/traffic/traf_000038,7
parking-with-allowedvehicletypeelectricvehicle-and-facilitytypegated-close-to-greenfield-park-clock-tower,traffic,p_000060,/d7/parking/p_000060,7
give-me-streetlight-where-status-equals-defectivelamp-and-powerstate-equals-low,streetlight,sl_000034,/d2/streetlight/sl_000034,2
give-me-pollution-where-sourcetype-equals-industrial-and-airqualitylevel-equals-moderate,pollution,pol_000217,/d0/pollution/pol_000217,0
query-streetlight-lanternmodel-hps-status-ok-in-lakeside-district,streetlight,sl_000174,/d5/streetlight/sl_000174,5
show-streetlight-where-locationcategory-is-tunnel-powerstate-is-bootingup-in-eastshore-quarter-financial-row,streetlight,sl_000064,/d2/streetlight/sl_000064,2
query-pollution-monitoringstation-mobile-sourcetype-traffic-in-westside-heights,traffic,pol_000014,/d1/pollution/pol_000014,1
query-pollution-pollutanttype-so2-sourcetype-naturalbackground-in-greenfield-park,pollution,pol_000048,/d7/pollution/pol_000048,7
search-for-pollution-devices-pollutanttypeso2-airqualitylevelunhealthy-near-old-town-core-science-center,pollution,pol_000588,/d6/pollution/pol_000588,6
give-me-pollution-where-airqualitylevel-equals-moderate-and-monitoringstation-equals-fixed,pollution,pol_000022,/d1/pollution/pol_000022,1
parking-with-facilitytypecovered-and-categoryrooftop-close-to-lakeside-district-cathedral,parking,p_000337,/d5/parking/p_000337,5
give-me-traffic-where-vehicletype-equals-bus-and-lanedirection-equals-bidirectional,traffic,traf_000027,/d1/traffic/traf_000027,1
query-streetlight-status-defectivelamp-lanternmodel-fluorescent-in-north-harbor,streetlight,sl_000010,/d0/streetlight/sl_000010,0
show-traffic-where-roadtype-is-collector-vehicletype-is-bus-in-eastshore-quarter-financial-row,traffic,traf_000052,/d2/traffic/traf_000052,2
query-streetlight-lanternmodel-hps-powerstate-bootingup-in-greenfield-park,streetlight,sl_000338,/d7/streetlight/sl_000338,7
give-me-parking-where-category-equals-onstreet-and-facilitytype-equals-covered,parking,p_000217,/d6/parking/p_000217,6
find-streetlight-with-locationcategory-playground-and-powerstate-off-near-south-hills-harbor-bridge,streetlight,sl_000029,/d3/streetlight/sl_000029,3
search-for-parking-devices-facilitytypeuncovered-categoryrooftop-near-greenfield-park-town-square,parking,p_000118,/d7/parking/p_000118,7
show-parking-where-occupancystatus-is-few-category-is-offstreet-in-greenfield-park-transit-hub,parking,p_000044,/d7/parking/p_000044,7
query-pollution-pollutanttype-so2-monitoringstation-mobile-in-westside-heights,pollution,pol_000018,/d1/pollution/pol_000018,1
locate-traffic-with-lanedirection-set-to-outbound-near-south-hills-lighthouse-in-south-hills-financial-row,traffic,traf_000026,/d3/traffic/traf_000026,3
pollution-with-sourcetypenaturalbackground-and-airqualitylevelunhealthy-close-to-midtown-center-sports-arena,pollution,pol_000084,/d4/pollution/pol_000084,4
streetlight-with-statusok-and-powerstateon-close-to-old-town-core-historic-market,streetlight,sl_000037,/d6/streetlight/sl_000037,6
give-me-pollution-where-sourcetype-equals-naturalbackground-and-pollutanttype-equals-pm25,pollution,pol_000020,/d0/pollution/pol_000020,0
show-streetlight-where-lanternmodel-is-fluorescent-powerstate-is-low-in-old-town-core-waterfront,streetlight,sl_000164,/d6/streetlight/sl_000164,6
give-me-traffic-where-vehicletype-equals-bicycle-and-lanedirection-equals-outbound,traffic,traf_000005,/d2/traffic/traf_000005,2
query-streetlight-status-defectivelamp-lanternmodel-fluorescent-in-old-town-core,streetlight,sl_000286,/d6/streetlight/sl_000286,6
query-parking-facilitytype-gated-allowedvehicletype-motorcycle-in-greenfield-park,traffic,p_000079,/d7/parking/p_000079,7
locate-traffic-with-congestionlevel-set-to-gridlock-near-south-hills-city-library-in-south-hills-financial-row,traffic,traf_000120,/d3/traffic/traf_000120,3
search-for-parking-devices-allowedvehicletypeelectricvehicle-occupancystatusfew-near-westside-heights-harbor-bridge,traffic,p_000072,/d1/parking/p_000072,1
streetlight-with-statusok-and-locationcategorysidewalk-close-to-south-hills-harbor-bridge,streetlight,sl_000029,/d3/streetlight/sl_000029,3
streetlight-with-powerstateoff-and-lanternmodelhps-close-to-north-harbor-riverside-park,streetlight,sl_000010,/d0/streetlight/sl_000010,0
search-for-pollution-devices-monitoringstationfixed-airqualitylevelmoderate-near-greenfield-park-harbor-bridge,pollution,pol_000202,/d7/pollution/pol_000202,7
find-traffic-with-roadtype-localstreet-and-vehicletype-car-near-lakeside-district-botanical-garden,traffic,traf_000191,/d5/traffic/traf_000191,5
locate-streetlight-with-locationcategory-set-to-facade-near-old-town-core-convention-center-in-old-town-core-industrial-zone,streetlight,sl_000001,/d6/streetlight/sl_000001,6
find-streetlight-with-status-brokenlantern-and-lanternmodel-fluorescent-near-midtown-center-shopping-mall,streetlight,sl_000036,/d4/streetlight/sl_000036,4
show-parking-where-category-is-multistorey-allowedvehicletype-is-electricvehicle-in-eastshore-quarter-residential-block,traffic,p_000012,/d2/parking/p_000012,2
traffic-with-roadtypecollector-and-congestionlevelmoderate-close-to-north-harbor-university-campus,traffic,traf_000178,/d0/traffic/traf_000178,0
search-for-traffic-devices-lanedirectionbidirectional-vehicletypetruck-near-old-town-core-shopping-mall,traffic,traf_000063,/d6/traffic/traf_000063,6
traffic-with-roadtypeserviceroad-and-vehicletypebicycle-close-to-lakeside-district-city-hall,traffic,traf_000360,/d5/traffic/traf_000360,5
show-streetlight-where-locationcategory-is-garden-powerstate-is-low-in-south-hills-waterfront,streetlight,sl_000018,/d3/streetlight/sl_000018,3
find-parking-with-occupancystatus-almostfull-and-category-offstreet-near-north-harbor-sports-arena,parking,p_000007,/d0/parking/p_000007,0
locate-streetlight-with-locationcategory-set-to-tunnel-near-greenfield-park-city-library-in-greenfield-park-industrial-zone,streetlight,sl_000072,/d7/streetlight/sl_000072,7
search-for-traffic-devices-lanedirectionoutbound-roadtypearterial-near-old-town-core-riverside-park,traffic,traf_000047,/d6/traffic/traf_000047,6
list-traffic-having-congestionlevel-light-plus-vehicletype-motorcycle-in-lakeside-district,traffic,traf_000092,/d5/traffic/traf_000092,5
show-streetlight-where-powerstate-is-on-locationcategory-is-sidewalk-in-greenfield-park-industrial-zone,streetlight,sl_000145,/d7/streetlight/sl_000145,7
show-parking-where-category-is-offstreet-occupancystatus-is-almostfull-in-old-town-core-commercial-strip,parking,p_000032,/d6/parking/p_000032,6
give-me-streetlight-where-status-equals-defectivelamp-and-lanternmodel-equals-hps,streetlight,sl_000114,/d1/streetlight/sl_000114,1
show-traffic-where-congestionlevel-is-light-lanedirection-is-inbound-in-westside-heights-transit-hub,traffic,traf_000382,/d1/traffic/traf_000382,1
give-me-streetlight-where-locationcategory-equals-garden-and-lanternmodel-equals-fluorescent,streetlight,sl_000090,/d5/streetlight/sl_000090,5
locate-streetlight-with-locationcategory-set-to-sidewalk-near-westside-heights-town-square-in-westside-heights-residential-block,streetlight,sl_000071,/d1/streetlight/sl_000071,1
traffic-with-roadtypeserviceroad-and-lanedirectionbidirectional-close-to-north-harbor-clock-tower,traffic,traf_000024,/d0/traffic/traf_000024,0
show-parking-where-occupancystatus-is-almostfull-category-is-rooftop-in-lakeside-district-residential-block,parking,p_000199,/d5/parking/p_000199,5
find-parking-with-category-offstreet-and-allowedvehicletype-electricvehicle-near-old-town-core-harbor-bridge,traffic,p_000032,/d6/parking/p_000032,6
