run_id,run_class,workflow,cache_mode,seed_provenance,git_commit,scheme,totalQueries,measurableQueries,DomainAcc,Recall_at_1,Recall_at_k,DocHit_at_1_singleton,mean_relset_size,singleton_queries,meanSSR,P50_ms,P95_ms,mean_hops,ctrl_bytes_per_sec,ctrl_pkts_per_sec,avg_FIB_entries,avg_LSDB_entries,unique_hops_values,partition_detected,failure_effective,ssr_mean,ssr_p50,ssr_p95,cache_hit_exact_ratio,cache_hit_semantic_ratio,semantic_hit_ratio
fig12-paper-grade-20260310a-central_proc2_s42,paper_grade,fig12_paper_grade_accuracy,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,central,500,425,1.0000,1.0000,1.0000,1.0000,25.3153,37,0.850000,9.6081,13.9330,0.00,1755.68,8.41,19,1,0,0,0,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
fig12-paper-grade-20260310a-flood_budget2_s42,paper_grade,fig12_paper_grade_accuracy,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,flood,500,425,0.2518,0.0729,0.2612,0.0000,25.3153,37,0.532776,47.8943,56.5364,5.10,6903.33,9.09,18,0,4,0,0,0.568372,0.647228,0.781385,0.000000,0.000000,0.000000
fig12-paper-grade-20260310a-flood_budget4_s42,paper_grade,fig12_paper_grade_accuracy,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,flood,500,425,0.4753,0.1647,0.5200,0.0000,25.3153,37,0.583315,49.7065,57.0994,5.14,13802.11,18.18,18,0,4,0,0,0.620119,0.657921,0.777672,0.000000,0.000000,0.000000
fig12-paper-grade-20260310a-flood_budget8_s42,paper_grade,fig12_paper_grade_accuracy,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,flood,500,425,0.8141,0.2847,0.9412,0.0270,25.3153,37,0.630188,50.6331,57.2655,5.12,27597.80,36.36,18,0,4,0,0,0.668788,0.668708,0.783215,0.000000,0.000000,0.000000
fig12-paper-grade-20260310a-iroute_M1_s42,paper_grade,fig12_paper_grade_accuracy,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,iroute,500,425,0.7412,0.2494,0.8424,0.0270,25.3153,37,0.710467,47.9769,55.5590,4.97,11701.55,18.13,21,8,4,0,0,0.731609,0.741117,0.827807,0.000000,0.000000,0.000000
fig12-paper-grade-20260310a-iroute_M4_s42,paper_grade,fig12_paper_grade_accuracy,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,iroute,500,425,0.8306,0.2894,0.9741,0.0270,25.3153,37,0.721441,47.9601,56.5034,5.14,14146.41,22.18,21,32,4,0,0,0.740519,0.750330,0.830951,0.000000,0.000000,0.000000
fig12-paper-grade-20260310a-iroute_M8_s42,paper_grade,fig12_paper_grade_accuracy,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,iroute,500,425,0.8306,0.2894,0.9741,0.0270,25.3153,37,0.721441,47.9601,56.5034,5.14,14146.41,22.18,21,32,4,0,0,0.740519,0.750330,0.830951,0.000000,0.000000,0.000000
fig12-paper-grade-20260310a-tag_tagK16_s42,paper_grade,fig12_paper_grade_accuracy,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,tag,500,425,0.5812,0.1812,0.6471,0.0270,25.3153,37,0.631816,47.9894,53.2958,5.19,55506.89,72.73,119,523,3,0,0,0.644003,0.642615,0.762917,0.000000,0.000000,0.000000
fig12-paper-grade-20260310a-tag_tagK32_s42,paper_grade,fig12_paper_grade_accuracy,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,tag,500,425,0.6047,0.1882,0.6824,0.0270,25.3153,37,0.629172,48.6544,53.6358,5.12,110996.45,145.45,119,523,3,0,0,0.641280,0.638398,0.777672,0.000000,0.000000,0.000000
fig12-paper-grade-20260310a-tag_tagK8_s42,paper_grade,fig12_paper_grade_accuracy,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,tag,500,425,0.5341,0.1576,0.5553,0.0270,25.3153,37,0.637059,48.0540,53.0242,5.39,27753.65,36.36,119,523,3,0,0,0.649513,0.642615,0.782932,0.000000,0.000000,0.000000
fig3-load-paper-grade-20260311a-central_freq10_s42,paper_grade,load_paper_grade_minimal,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,central,399,342,1.0000,1.0000,1.0000,1.0000,24.9708,29,0.857143,10.2401,11.3915,0.00,3846.78,18.52,19,1,0,0,0,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
fig3-load-paper-grade-20260311a-central_freq20_s42,paper_grade,load_paper_grade_minimal,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,central,500,425,1.0000,1.0000,1.0000,1.0000,25.3153,37,0.850000,10.2401,11.3915,0.00,4828.12,23.12,19,1,0,0,0,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
fig3-load-paper-grade-20260311a-central_freq5_s42,paper_grade,load_paper_grade_minimal,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,central,199,174,1.0000,1.0000,1.0000,1.0000,30.5920,17,0.874372,10.1469,11.4381,0.00,1930.65,9.32,19,1,0,0,0,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
fig3-load-paper-grade-20260311a-flood_freq10_s42,paper_grade,load_paper_grade_minimal,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,flood,399,342,0.4737,0.1579,0.5205,0.0000,24.9708,29,0.585692,48.4731,55.7605,5.10,30294.20,39.90,18,0,4,0,0,0.623016,0.658254,0.780430,0.000000,0.000000,0.000000
fig3-load-paper-grade-20260311a-flood_freq20_s42,paper_grade,load_paper_grade_minimal,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,flood,500,425,0.4753,0.1647,0.5200,0.0000,25.3153,37,0.584307,48.4985,55.8634,5.14,37955.80,50.00,18,0,4,0,0,0.621286,0.658595,0.780430,0.000000,0.000000,0.000000
fig3-load-paper-grade-20260311a-flood_freq5_s42,paper_grade,load_paper_grade_minimal,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,flood,199,174,0.4770,0.1667,0.5172,0.0000,30.5920,17,0.580753,48.2085,55.4345,5.00,15096.58,19.90,18,0,4,0,0,0.618635,0.656612,0.774164,0.000000,0.000000,0.000000
fig3-load-paper-grade-20260311a-iroute_freq10_s42,paper_grade,load_paper_grade_minimal,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,iroute,399,342,0.8421,0.2807,0.9825,0.0000,24.9708,29,0.722403,47.2669,55.6480,5.10,30982.22,48.58,21,32,4,0,0,0.742325,0.751397,0.830131,0.000000,0.000000,0.000000
fig3-load-paper-grade-20260311a-iroute_freq20_s42,paper_grade,load_paper_grade_minimal,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,iroute,500,425,0.8306,0.2894,0.9741,0.0270,25.3153,37,0.721441,47.0724,55.6644,5.14,38902.62,61.00,21,32,4,0,0,0.740519,0.750330,0.830951,0.000000,0.000000,0.000000
fig3-load-paper-grade-20260311a-iroute_freq5_s42,paper_grade,load_paper_grade_minimal,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,iroute,199,174,0.8448,0.2874,0.9828,0.0000,30.5920,17,0.726418,46.6469,55.6480,5.04,15421.08,24.18,21,32,4,0,0,0.743476,0.755865,0.835086,0.000000,0.000000,0.000000
fig3-load-paper-grade-20260311a-tag_freq10_s42,paper_grade,load_paper_grade_minimal,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,tag,399,342,0.2778,0.0760,0.3099,0.0000,24.9708,29,0.354709,46.8463,51.8653,5.23,219318.45,319.20,119,523,3,0,0,0.359852,0.565028,0.754663,0.000000,0.000000,0.000000
fig3-load-paper-grade-20260311a-tag_freq20_s42,paper_grade,load_paper_grade_minimal,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,tag,500,425,0.1271,0.0447,0.1435,0.0000,25.3153,37,0.185573,46.5678,51.0208,5.91,256376.10,400.00,119,523,3,0,0,0.184428,0.000000,0.728548,0.000000,0.000000,0.000000
fig3-load-paper-grade-20260311a-tag_freq5_s42,paper_grade,load_paper_grade_minimal,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,tag,199,174,0.2989,0.0977,0.3218,0.0000,30.5920,17,0.350077,46.5763,51.4403,5.27,109376.93,159.20,119,523,3,0,0,0.368084,0.560850,0.728908,0.000000,0.000000,0.000000
fig4-scaling-paper-grade-20260311b-central_d16_s42,paper_grade,scaling_paper_grade_minimal,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,central,31,27,1.0000,1.0000,1.0000,1.0000,23.7037,3,0.870968,10.5619,11.3170,0.00,756.00,3.62,35,1,0,0,0,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
fig4-scaling-paper-grade-20260311b-central_d8_s42,paper_grade,scaling_paper_grade_minimal,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,central,31,27,1.0000,1.0000,1.0000,1.0000,23.7037,3,0.870968,10.1500,10.9142,0.00,756.00,3.62,19,1,0,0,0,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
fig4-scaling-paper-grade-20260311b-flood_d16_s42,paper_grade,scaling_paper_grade_minimal,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,flood,31,27,0.3333,0.0741,0.3333,0.0000,23.7037,3,0.430378,48.4899,54.3808,4.95,5805.62,7.75,34,0,3,0,0,0.439939,0.616034,0.733269,0.000000,0.000000,0.000000
fig4-scaling-paper-grade-20260311b-flood_d8_s42,paper_grade,scaling_paper_grade_minimal,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,flood,31,27,0.5185,0.1852,0.5185,0.0000,23.7037,3,0.514514,48.0053,50.9579,5.21,5862.50,7.75,18,0,3,0,0,0.536912,0.636948,0.761249,0.000000,0.000000,0.000000
fig4-scaling-paper-grade-20260311b-iroute_d16_s42,paper_grade,scaling_paper_grade_minimal,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,iroute,31,27,0.9630,0.2963,1.0000,0.0000,23.7037,3,0.711898,42.8633,52.6290,4.94,6097.31,5.00,37,64,3,0,0,0.718965,0.711237,0.822569,0.000000,0.000000,0.000000
fig4-scaling-paper-grade-20260311b-iroute_d8_s42,paper_grade,scaling_paper_grade_minimal,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,iroute,31,27,0.9259,0.2963,1.0000,0.0000,23.7037,3,0.717122,46.0206,55.2455,5.19,6019.62,9.44,21,32,4,0,0,0.719860,0.711237,0.822569,0.000000,0.000000,0.000000
fig4-scaling-paper-grade-20260311b-tag_d16_s42,paper_grade,scaling_paper_grade_minimal,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,tag,31,27,0.0000,0.0000,0.0000,0.0000,23.7037,3,0.000000,0.0000,0.0000,0.00,37245.00,62.00,35,523,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
fig4-scaling-paper-grade-20260311b-tag_d8_s42,paper_grade,scaling_paper_grade_minimal,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,tag,31,27,0.0000,0.0000,0.0000,0.0000,23.7037,3,0.000000,0.0000,0.0000,0.00,37245.00,62.00,19,523,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
fig5-failure-paper-grade-20260311c-central-churn-s42,paper_grade,failure_paper_grade_minimal,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,central,63,56,1.0000,1.0000,1.0000,1.0000,27.9821,3,0.888889,10.3720,11.0908,0.00,767.88,3.72,19,1,0,0,1,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
fig5-failure-paper-grade-20260311c-central-domain-fail-s42,paper_grade,failure_paper_grade_minimal,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,central,62,55,1.0000,1.0000,1.0000,1.0000,28.4182,3,0.887097,10.3567,11.0908,0.00,754.50,3.66,19,1,0,0,1,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
fig5-failure-paper-grade-20260311c-central-link-fail-s42,paper_grade,failure_paper_grade_minimal,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,central,63,56,1.0000,1.0000,1.0000,1.0000,27.9821,3,0.888889,10.1500,11.4381,0.00,767.88,3.72,19,1,0,1,1,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
fig5-failure-paper-grade-20260311c-flood-churn-s42,paper_grade,failure_paper_grade_minimal,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,flood,63,56,0.5357,0.1786,0.5536,0.0000,27.9821,3,0.573498,16.8944,4018.0188,2.00,5921.06,7.88,18,0,1,0,1,0.594026,0.657474,0.791370,0.000000,0.000000,0.000000
fig5-failure-paper-grade-20260311c-flood-domain-fail-s42,paper_grade,failure_paper_grade_minimal,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,flood,58,51,0.4706,0.1765,0.4706,0.0000,22.7255,3,0.568687,17.0449,4018.6318,2.00,5401.62,7.25,18,0,1,0,1,0.591268,0.657457,0.794791,0.000000,0.000000,0.000000
fig5-failure-paper-grade-20260311c-flood-link-fail-s42,paper_grade,failure_paper_grade_minimal,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,flood,63,56,0.5179,0.1786,0.5357,0.0000,27.9821,3,0.574218,16.8817,4018.3658,2.00,5948.69,7.88,18,0,1,0,1,0.595474,0.661904,0.794791,0.000000,0.000000,0.000000
fig5-failure-paper-grade-20260311c-iroute-churn-s42,paper_grade,failure_paper_grade_minimal,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,iroute,63,56,0.7857,0.2143,0.9464,0.0000,27.9821,3,0.723318,16.8365,17.0324,2.00,6118.72,9.59,21,32,1,0,0,0.730011,0.750733,0.822569,0.000000,0.000000,0.000000
fig5-failure-paper-grade-20260311c-iroute-domain-fail-s42,paper_grade,failure_paper_grade_minimal,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,iroute,55,49,0.4286,0.1429,1.0000,0.0000,23.3673,3,0.709692,4018.0188,4018.0189,2.00,5336.16,7.44,21,32,1,0,1,0.715504,0.726836,0.819913,0.000000,0.000000,0.000000
fig5-failure-paper-grade-20260311c-iroute-link-fail-s42,paper_grade,failure_paper_grade_minimal,disabled,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,iroute,63,56,0.7321,0.2143,1.0000,0.0000,27.9821,3,0.657309,16.8494,17.0414,2.00,6105.81,9.56,21,32,1,0,1,0.668708,0.727679,0.835086,0.000000,0.000000,0.000000
fig5-failure-paper-grade-final-20260311d-central-churn-s42,paper_grade,failure_paper_grade_final,disabled,native,c9fe70330c976461054cc2b19d036d65a1387ea4,central,63,56,1.0000,1.0000,1.0000,1.0000,27.9821,3,0.888889,10.3720,11.0908,0.00,767.88,3.72,19,1,0,0,1,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
fig5-failure-paper-grade-final-20260311d-central-domain-fail-s42,paper_grade,failure_paper_grade_final,disabled,native,c9fe70330c976461054cc2b19d036d65a1387ea4,central,62,55,1.0000,1.0000,1.0000,1.0000,28.4182,3,0.887097,10.3567,11.0908,0.00,754.50,3.66,19,1,0,0,1,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
fig5-failure-paper-grade-final-20260311d-central-link-fail-s42,paper_grade,failure_paper_grade_final,disabled,native,c9fe70330c976461054cc2b19d036d65a1387ea4,central,63,56,1.0000,1.0000,1.0000,1.0000,27.9821,3,0.888889,10.1500,11.4381,0.00,767.88,3.72,19,1,0,1,1,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000
fig5-failure-paper-grade-final-20260311d-flood-churn-s42,paper_grade,failure_paper_grade_final,disabled,native,c9fe70330c976461054cc2b19d036d65a1387ea4,flood,63,56,0.5357,0.1786,0.5536,0.0000,27.9821,3,0.573498,16.8944,4018.0188,2.00,5921.06,7.88,18,0,1,0,1,0.594026,0.657474,0.791370,0.000000,0.000000,0.000000
fig5-failure-paper-grade-final-20260311d-flood-domain-fail-s42,paper_grade,failure_paper_grade_final,disabled,native,c9fe70330c976461054cc2b19d036d65a1387ea4,flood,58,51,0.4706,0.1765,0.4706,0.0000,22.7255,3,0.568687,17.0449,4018.6318,2.00,5401.62,7.25,18,0,1,0,1,0.591268,0.657457,0.794791,0.000000,0.000000,0.000000
fig5-failure-paper-grade-final-20260311d-flood-link-fail-s42,paper_grade,failure_paper_grade_final,disabled,native,c9fe70330c976461054cc2b19d036d65a1387ea4,flood,63,56,0.5179,0.1786,0.5357,0.0000,27.9821,3,0.574218,16.8817,4018.3658,2.00,5948.69,7.88,18,0,1,0,1,0.595474,0.661904,0.794791,0.000000,0.000000,0.000000
fig5-failure-paper-grade-final-20260311d-iroute-churn-s42,paper_grade,failure_paper_grade_final,disabled,native,c9fe70330c976461054cc2b19d036d65a1387ea4,iroute,63,56,0.7857,0.2143,0.9464,0.0000,27.9821,3,0.723318,16.8365,17.0324,2.00,6118.72,9.59,21,32,1,0,1,0.730011,0.750733,0.822569,0.000000,0.000000,0.000000
fig5-failure-paper-grade-final-20260311d-iroute-domain-fail-s42,paper_grade,failure_paper_grade_final,disabled,native,c9fe70330c976461054cc2b19d036d65a1387ea4,iroute,55,49,0.4286,0.1429,1.0000,0.0000,23.3673,3,0.709692,4018.0188,4018.0189,2.00,5336.16,7.44,21,32,1,0,1,0.715504,0.726836,0.819913,0.000000,0.000000,0.000000
fig5-failure-paper-grade-final-20260311d-iroute-link-fail-s42,paper_grade,failure_paper_grade_final,disabled,native,c9fe70330c976461054cc2b19d036d65a1387ea4,iroute,63,56,0.7321,0.2143,1.0000,0.0000,27.9821,3,0.657309,16.8494,17.0414,2.00,6105.81,9.56,21,32,1,0,1,0.668708,0.727679,0.835086,0.000000,0.000000,0.000000
