run_id,run_class,workflow,runner,source_kind,source_dir,cache_mode,cs_size,seed_provenance,git_commit,promoted_at_utc,has_summary,has_query_log,has_latency_sanity,has_failure_sanity
fig12-paper-grade-20260310a-central_proc2_s42,paper_grade,fig12_paper_grade_accuracy,ns-3/experiments/runners/run_accuracy_experiment.sh,fig12_accuracy_staging,/private/tmp/fig12-paper-grade-20260310a-stage/central_proc2_s42,disabled,0,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,2026-03-10T12:50:28.131481+00:00,1,1,1,1
fig12-paper-grade-20260310a-flood_budget2_s42,paper_grade,fig12_paper_grade_accuracy,ns-3/experiments/runners/run_accuracy_experiment.sh,fig12_accuracy_staging,/private/tmp/fig12-paper-grade-20260310a-stage/flood_budget2_s42,disabled,0,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,2026-03-10T12:50:27.815080+00:00,1,1,1,1
fig12-paper-grade-20260310a-flood_budget4_s42,paper_grade,fig12_paper_grade_accuracy,ns-3/experiments/runners/run_accuracy_experiment.sh,fig12_accuracy_staging,/private/tmp/fig12-paper-grade-20260310a-stage/flood_budget4_s42,disabled,0,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,2026-03-10T12:50:27.867858+00:00,1,1,1,1
fig12-paper-grade-20260310a-flood_budget8_s42,paper_grade,fig12_paper_grade_accuracy,ns-3/experiments/runners/run_accuracy_experiment.sh,fig12_accuracy_staging,/private/tmp/fig12-paper-grade-20260310a-stage/flood_budget8_s42,disabled,0,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,2026-03-10T12:50:27.920915+00:00,1,1,1,1
fig12-paper-grade-20260310a-iroute_M1_s42,paper_grade,fig12_paper_grade_accuracy,ns-3/experiments/runners/run_accuracy_experiment.sh,fig12_accuracy_staging,/private/tmp/fig12-paper-grade-20260310a-stage/iroute_M1_s42,disabled,0,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,2026-03-10T12:50:27.657487+00:00,1,1,1,1
fig12-paper-grade-20260310a-iroute_M4_s42,paper_grade,fig12_paper_grade_accuracy,ns-3/experiments/runners/run_accuracy_experiment.sh,fig12_accuracy_staging,/private/tmp/fig12-paper-grade-20260310a-stage/iroute_M4_s42,disabled,0,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,2026-03-10T12:50:27.709620+00:00,1,1,1,1
fig12-paper-grade-20260310a-iroute_M8_s42,paper_grade,fig12_paper_grade_accuracy,ns-3/experiments/runners/run_accuracy_experiment.sh,fig12_accuracy_staging,/private/tmp/fig12-paper-grade-20260310a-stage/iroute_M8_s42,disabled,0,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,2026-03-10T12:50:27.762006+00:00,1,1,1,1
fig12-paper-grade-20260310a-tag_tagK16_s42,paper_grade,fig12_paper_grade_accuracy,ns-3/experiments/runners/run_accuracy_experiment.sh,fig12_accuracy_staging,/private/tmp/fig12-paper-grade-20260310a-stage/tag_tagK16_s42,disabled,0,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,2026-03-10T12:50:28.027791+00:00,1,1,1,1
fig12-paper-grade-20260310a-tag_tagK32_s42,paper_grade,fig12_paper_grade_accuracy,ns-3/experiments/runners/run_accuracy_experiment.sh,fig12_accuracy_staging,/private/tmp/fig12-paper-grade-20260310a-stage/tag_tagK32_s42,disabled,0,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,2026-03-10T12:50:28.079710+00:00,1,1,1,1
fig12-paper-grade-20260310a-tag_tagK8_s42,paper_grade,fig12_paper_grade_accuracy,ns-3/experiments/runners/run_accuracy_experiment.sh,fig12_accuracy_staging,/private/tmp/fig12-paper-grade-20260310a-stage/tag_tagK8_s42,disabled,0,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,2026-03-10T12:50:27.974414+00:00,1,1,1,1
fig3-load-paper-grade-20260311a-central_freq10_s42,paper_grade,load_paper_grade_minimal,ns-3/experiments/runners/run_load_experiment.sh,load_paper_grade_staging,/private/tmp/fig3-load-paper-grade-20260311a-stage/central_freq10_s42,disabled,0,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,2026-03-10T17:14:32.369871+00:00,1,1,1,1
fig3-load-paper-grade-20260311a-central_freq20_s42,paper_grade,load_paper_grade_minimal,ns-3/experiments/runners/run_load_experiment.sh,load_paper_grade_staging,/private/tmp/fig3-load-paper-grade-20260311a-stage/central_freq20_s42,disabled,0,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,2026-03-10T17:14:32.415371+00:00,1,1,1,1
fig3-load-paper-grade-20260311a-central_freq5_s42,paper_grade,load_paper_grade_minimal,ns-3/experiments/runners/run_load_experiment.sh,load_paper_grade_staging,/private/tmp/fig3-load-paper-grade-20260311a-stage/central_freq5_s42,disabled,0,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,2026-03-10T17:14:32.322858+00:00,1,1,1,1
fig3-load-paper-grade-20260311a-flood_freq10_s42,paper_grade,load_paper_grade_minimal,ns-3/experiments/runners/run_load_experiment.sh,load_paper_grade_staging,/private/tmp/fig3-load-paper-grade-20260311a-stage/flood_freq10_s42,disabled,0,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,2026-03-10T17:14:32.792713+00:00,1,1,1,1
fig3-load-paper-grade-20260311a-flood_freq20_s42,paper_grade,load_paper_grade_minimal,ns-3/experiments/runners/run_load_experiment.sh,load_paper_grade_staging,/private/tmp/fig3-load-paper-grade-20260311a-stage/flood_freq20_s42,disabled,0,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,2026-03-10T17:14:32.841125+00:00,1,1,1,1
fig3-load-paper-grade-20260311a-flood_freq5_s42,paper_grade,load_paper_grade_minimal,ns-3/experiments/runners/run_load_experiment.sh,load_paper_grade_staging,/private/tmp/fig3-load-paper-grade-20260311a-stage/flood_freq5_s42,disabled,0,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,2026-03-10T17:14:32.745224+00:00,1,1,1,1
fig3-load-paper-grade-20260311a-iroute_freq10_s42,paper_grade,load_paper_grade_minimal,ns-3/experiments/runners/run_load_experiment.sh,load_paper_grade_staging,/private/tmp/fig3-load-paper-grade-20260311a-stage/iroute_freq10_s42,disabled,0,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,2026-03-10T17:14:32.508372+00:00,1,1,1,1
fig3-load-paper-grade-20260311a-iroute_freq20_s42,paper_grade,load_paper_grade_minimal,ns-3/experiments/runners/run_load_experiment.sh,load_paper_grade_staging,/private/tmp/fig3-load-paper-grade-20260311a-stage/iroute_freq20_s42,disabled,0,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,2026-03-10T17:14:32.554699+00:00,1,1,1,1
fig3-load-paper-grade-20260311a-iroute_freq5_s42,paper_grade,load_paper_grade_minimal,ns-3/experiments/runners/run_load_experiment.sh,load_paper_grade_staging,/private/tmp/fig3-load-paper-grade-20260311a-stage/iroute_freq5_s42,disabled,0,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,2026-03-10T17:14:32.461889+00:00,1,1,1,1
fig3-load-paper-grade-20260311a-tag_freq10_s42,paper_grade,load_paper_grade_minimal,ns-3/experiments/runners/run_load_experiment.sh,load_paper_grade_staging,/private/tmp/fig3-load-paper-grade-20260311a-stage/tag_freq10_s42,disabled,0,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,2026-03-10T17:14:32.649412+00:00,1,1,1,1
fig3-load-paper-grade-20260311a-tag_freq20_s42,paper_grade,load_paper_grade_minimal,ns-3/experiments/runners/run_load_experiment.sh,load_paper_grade_staging,/private/tmp/fig3-load-paper-grade-20260311a-stage/tag_freq20_s42,disabled,0,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,2026-03-10T17:14:32.696406+00:00,1,1,1,1
fig3-load-paper-grade-20260311a-tag_freq5_s42,paper_grade,load_paper_grade_minimal,ns-3/experiments/runners/run_load_experiment.sh,load_paper_grade_staging,/private/tmp/fig3-load-paper-grade-20260311a-stage/tag_freq5_s42,disabled,0,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,2026-03-10T17:14:32.602798+00:00,1,1,1,1
fig4-scaling-paper-grade-20260311b-central_d16_s42,paper_grade,scaling_paper_grade_minimal,ns-3/experiments/runners/run_scaling_experiment.sh,scaling_paper_grade_staging,/private/tmp/fig4-scaling-paper-grade-20260311b-stage/central_d16_s42,disabled,0,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,2026-03-10T17:40:11.620795+00:00,1,1,1,1
fig4-scaling-paper-grade-20260311b-central_d8_s42,paper_grade,scaling_paper_grade_minimal,ns-3/experiments/runners/run_scaling_experiment.sh,scaling_paper_grade_staging,/private/tmp/fig4-scaling-paper-grade-20260311b-stage/central_d8_s42,disabled,0,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,2026-03-10T17:40:11.574119+00:00,1,1,1,1
fig4-scaling-paper-grade-20260311b-flood_d16_s42,paper_grade,scaling_paper_grade_minimal,ns-3/experiments/runners/run_scaling_experiment.sh,scaling_paper_grade_staging,/private/tmp/fig4-scaling-paper-grade-20260311b-stage/flood_d16_s42,disabled,0,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,2026-03-10T17:40:11.899309+00:00,1,1,1,1
fig4-scaling-paper-grade-20260311b-flood_d8_s42,paper_grade,scaling_paper_grade_minimal,ns-3/experiments/runners/run_scaling_experiment.sh,scaling_paper_grade_staging,/private/tmp/fig4-scaling-paper-grade-20260311b-stage/flood_d8_s42,disabled,0,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,2026-03-10T17:40:11.854658+00:00,1,1,1,1
fig4-scaling-paper-grade-20260311b-iroute_d16_s42,paper_grade,scaling_paper_grade_minimal,ns-3/experiments/runners/run_scaling_experiment.sh,scaling_paper_grade_staging,/private/tmp/fig4-scaling-paper-grade-20260311b-stage/iroute_d16_s42,disabled,0,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,2026-03-10T17:40:11.712544+00:00,1,1,1,1
fig4-scaling-paper-grade-20260311b-iroute_d8_s42,paper_grade,scaling_paper_grade_minimal,ns-3/experiments/runners/run_scaling_experiment.sh,scaling_paper_grade_staging,/private/tmp/fig4-scaling-paper-grade-20260311b-stage/iroute_d8_s42,disabled,0,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,2026-03-10T17:40:11.666703+00:00,1,1,1,1
fig4-scaling-paper-grade-20260311b-tag_d16_s42,paper_grade,scaling_paper_grade_minimal,ns-3/experiments/runners/run_scaling_experiment.sh,scaling_paper_grade_staging,/private/tmp/fig4-scaling-paper-grade-20260311b-stage/tag_d16_s42,disabled,0,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,2026-03-10T17:40:11.807639+00:00,1,1,1,1
fig4-scaling-paper-grade-20260311b-tag_d8_s42,paper_grade,scaling_paper_grade_minimal,ns-3/experiments/runners/run_scaling_experiment.sh,scaling_paper_grade_staging,/private/tmp/fig4-scaling-paper-grade-20260311b-stage/tag_d8_s42,disabled,0,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,2026-03-10T17:40:11.759782+00:00,1,1,1,1
fig5-failure-paper-grade-20260311c-central-churn-s42,paper_grade,failure_paper_grade_minimal,ns-3/experiments/runners/run_failure_experiment.sh,failure_paper_grade_staging,/private/tmp/fig5-failure-paper-grade-20260311c-stage/central-churn-s42,disabled,0,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,2026-03-10T17:40:55.014063+00:00,1,1,1,1
fig5-failure-paper-grade-20260311c-central-domain-fail-s42,paper_grade,failure_paper_grade_minimal,ns-3/experiments/runners/run_failure_experiment.sh,failure_paper_grade_staging,/private/tmp/fig5-failure-paper-grade-20260311c-stage/central-domain-fail-s42,disabled,0,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,2026-03-10T17:40:54.969541+00:00,1,1,1,1
fig5-failure-paper-grade-20260311c-central-link-fail-s42,paper_grade,failure_paper_grade_minimal,ns-3/experiments/runners/run_failure_experiment.sh,failure_paper_grade_staging,/private/tmp/fig5-failure-paper-grade-20260311c-stage/central-link-fail-s42,disabled,0,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,2026-03-10T17:40:54.925287+00:00,1,1,1,1
fig5-failure-paper-grade-20260311c-flood-churn-s42,paper_grade,failure_paper_grade_minimal,ns-3/experiments/runners/run_failure_experiment.sh,failure_paper_grade_staging,/private/tmp/fig5-failure-paper-grade-20260311c-stage/flood-churn-s42,disabled,0,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,2026-03-10T17:40:55.283917+00:00,1,1,1,1
fig5-failure-paper-grade-20260311c-flood-domain-fail-s42,paper_grade,failure_paper_grade_minimal,ns-3/experiments/runners/run_failure_experiment.sh,failure_paper_grade_staging,/private/tmp/fig5-failure-paper-grade-20260311c-stage/flood-domain-fail-s42,disabled,0,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,2026-03-10T17:40:55.239253+00:00,1,1,1,1
fig5-failure-paper-grade-20260311c-flood-link-fail-s42,paper_grade,failure_paper_grade_minimal,ns-3/experiments/runners/run_failure_experiment.sh,failure_paper_grade_staging,/private/tmp/fig5-failure-paper-grade-20260311c-stage/flood-link-fail-s42,disabled,0,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,2026-03-10T17:40:55.194194+00:00,1,1,1,1
fig5-failure-paper-grade-20260311c-iroute-churn-s42,paper_grade,failure_paper_grade_minimal,ns-3/experiments/runners/run_failure_experiment.sh,failure_paper_grade_staging,/private/tmp/fig5-failure-paper-grade-20260311c-stage/iroute-churn-s42,disabled,0,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,2026-03-10T17:40:55.149143+00:00,1,1,1,1
fig5-failure-paper-grade-20260311c-iroute-domain-fail-s42,paper_grade,failure_paper_grade_minimal,ns-3/experiments/runners/run_failure_experiment.sh,failure_paper_grade_staging,/private/tmp/fig5-failure-paper-grade-20260311c-stage/iroute-domain-fail-s42,disabled,0,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,2026-03-10T17:40:55.104225+00:00,1,1,1,1
fig5-failure-paper-grade-20260311c-iroute-link-fail-s42,paper_grade,failure_paper_grade_minimal,ns-3/experiments/runners/run_failure_experiment.sh,failure_paper_grade_staging,/private/tmp/fig5-failure-paper-grade-20260311c-stage/iroute-link-fail-s42,disabled,0,native,24e55cc2c16857dcf93ff8e9c51496af8d76af56,2026-03-10T17:40:55.058688+00:00,1,1,1,1
fig5-failure-paper-grade-final-20260311d-central-churn-s42,paper_grade,failure_paper_grade_final,ns-3/experiments/runners/run_failure_experiment.sh,failure_paper_grade_final_staging,/private/tmp/fig5-failure-paper-grade-final-20260311d-stage/central-churn-s42,disabled,0,native,c9fe70330c976461054cc2b19d036d65a1387ea4,2026-03-11T05:20:31.138624+00:00,1,1,1,1
fig5-failure-paper-grade-final-20260311d-central-domain-fail-s42,paper_grade,failure_paper_grade_final,ns-3/experiments/runners/run_failure_experiment.sh,failure_paper_grade_final_staging,/private/tmp/fig5-failure-paper-grade-final-20260311d-stage/central-domain-fail-s42,disabled,0,native,c9fe70330c976461054cc2b19d036d65a1387ea4,2026-03-11T05:20:31.091904+00:00,1,1,1,1
fig5-failure-paper-grade-final-20260311d-central-link-fail-s42,paper_grade,failure_paper_grade_final,ns-3/experiments/runners/run_failure_experiment.sh,failure_paper_grade_final_staging,/private/tmp/fig5-failure-paper-grade-final-20260311d-stage/central-link-fail-s42,disabled,0,native,c9fe70330c976461054cc2b19d036d65a1387ea4,2026-03-11T05:20:31.040825+00:00,1,1,1,1
fig5-failure-paper-grade-final-20260311d-flood-churn-s42,paper_grade,failure_paper_grade_final,ns-3/experiments/runners/run_failure_experiment.sh,failure_paper_grade_final_staging,/private/tmp/fig5-failure-paper-grade-final-20260311d-stage/flood-churn-s42,disabled,0,native,c9fe70330c976461054cc2b19d036d65a1387ea4,2026-03-11T05:20:31.436905+00:00,1,1,1,1
fig5-failure-paper-grade-final-20260311d-flood-domain-fail-s42,paper_grade,failure_paper_grade_final,ns-3/experiments/runners/run_failure_experiment.sh,failure_paper_grade_final_staging,/private/tmp/fig5-failure-paper-grade-final-20260311d-stage/flood-domain-fail-s42,disabled,0,native,c9fe70330c976461054cc2b19d036d65a1387ea4,2026-03-11T05:20:31.389646+00:00,1,1,1,1
fig5-failure-paper-grade-final-20260311d-flood-link-fail-s42,paper_grade,failure_paper_grade_final,ns-3/experiments/runners/run_failure_experiment.sh,failure_paper_grade_final_staging,/private/tmp/fig5-failure-paper-grade-final-20260311d-stage/flood-link-fail-s42,disabled,0,native,c9fe70330c976461054cc2b19d036d65a1387ea4,2026-03-11T05:20:31.338303+00:00,1,1,1,1
fig5-failure-paper-grade-final-20260311d-iroute-churn-s42,paper_grade,failure_paper_grade_final,ns-3/experiments/runners/run_failure_experiment.sh,failure_paper_grade_final_staging,/private/tmp/fig5-failure-paper-grade-final-20260311d-stage/iroute-churn-s42,disabled,0,native,c9fe70330c976461054cc2b19d036d65a1387ea4,2026-03-11T05:20:31.290927+00:00,1,1,1,1
fig5-failure-paper-grade-final-20260311d-iroute-domain-fail-s42,paper_grade,failure_paper_grade_final,ns-3/experiments/runners/run_failure_experiment.sh,failure_paper_grade_final_staging,/private/tmp/fig5-failure-paper-grade-final-20260311d-stage/iroute-domain-fail-s42,disabled,0,native,c9fe70330c976461054cc2b19d036d65a1387ea4,2026-03-11T05:20:31.239104+00:00,1,1,1,1
fig5-failure-paper-grade-final-20260311d-iroute-link-fail-s42,paper_grade,failure_paper_grade_final,ns-3/experiments/runners/run_failure_experiment.sh,failure_paper_grade_final_staging,/private/tmp/fig5-failure-paper-grade-final-20260311d-stage/iroute-link-fail-s42,disabled,0,native,c9fe70330c976461054cc2b19d036d65a1387ea4,2026-03-11T05:20:31.190137+00:00,1,1,1,1
legacy-sanr-baseline-exp4-scaling-iroute-d8-s42,exploratory,legacy_import,ns-3/scratch/iroute-exp-baselines.cc,legacy_ns3_results,ns-3/results/sanr_baseline/exp4-scaling/iroute_d8_s42,enabled,1000,unknown,6e44208441b85287f221ad19b91b87d519f2c5b7,2026-03-10T07:58:32.144166+00:00,1,1,1,1
smoke-iroute-star-s42-20260310a,smoke,smoke_validation,ns-3/scratch/iroute-exp-baselines.cc,smoke_staging,/private/var/folders/bd/fmy5y57d5gb2_0940687snm00000gn/T/iroute-smoke-stage-7947gb1z/smoke-iroute-star-s42-20260310a,disabled,0,native,6e44208441b85287f221ad19b91b87d519f2c5b7,2026-03-10T07:58:11.959559+00:00,1,1,1,1
